System ID,UPC,EAN,Custom SKU,Manufact. SKU,Item,Vendor ID,Qty.,Price,Tax,Brand,Publish to eCom,Season,Department,MSRP,Tax Class,Default Cost,Vendor,Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6,Subcategory 7,Subcategory 8,Subcategory 9
2.1E+11,62811018003,2.1E+11,66194,01006281101800321325040210F10900006,Spark RapidSense Live Rosin THC Tablets 10MGX30,66194,35,$36.99 ,Yes,Spark,Yes,,,36.99,GST Only,26.46,MBLL,Cannabis,Oils Ingested,,,,,,,,
2.1E+11,62811018021,2.1E+11,66198,01006281101802161325031210F10500009,Spark RapidSense THC MoonShots 10X10MG,66198,0,$21.50 ,Yes,Spark,Yes,,,21.5,GST Only,15.22,MBLL,Cannabis,Oils Ingested,,,,,,,,
2.1E+11,6.28243E+11,,52914,1.00628E+28,Smoke That Thunder Durga Mata II CBD Hybrid Pre-Rolls 3X0.5G,52914,24,$9.70 ,Yes,smoke that thunder,Yes,,,9.7,GST Only,6.8,MBLL,Cannabis,Pre-Rolled,,,,,,,,
2.1E+11,6.28678E+11,2.1E+11,56522,01006286781058051325101610WCBA251016,Dom Jackson Banjo Sativa Pre-Rolls 3X0.5G,56522,40,$17.99 ,Yes,Dom Jackson,Yes,,,17.99,GST Only,12.9,MBLL,Cannabis,Pre-Rolled,,,,,,,,
2.1E+11,8.10154E+11,,62417,01008101540017361325061110WCGP250611,Dom Jackson Ghost Banner Indica Pre-Rolls 3X0.5G,62417,0,$17.99 ,Yes,Dom Jackson,Yes,,,17.99,GST Only,12.9,MBLL,Cannabis,Pre-Rolled,,,,,,,,
2.1E+11,8.10154E+11,,62418,01008101540022141325101610WCGM251016,Dom Jackson Gas Mask Variety Pack Pre-Rolls 3X0.5G,62418,72,$17.99 ,Yes,Dom Jackson,Yes,,,17.99,GST Only,12.9,MBLL,Cannabis,Pre-Rolled,,,,,,,,
2.1E+11,,,,,Copy of Shop Supplies Label Tape,,0,$0.00 ,Yes,,No,,,0,Item,6,Flamingo Vape,Shop Supplies,,,,,,,,,
2.1E+11,,,,,Shop Supplies Yellow Label Tape,,21,$0.00 ,Yes,,No,,,0,Item,4,Flamingo Vape,Shop Supplies,,,,,,,,,
2.1E+11,6.94144E+11,2.1E+11,62717,1.00694E+34,Redecan Purple Churro Sativa Bluntees 4X0.4G,62717,0,$13.25 ,Yes,Redecan,Yes,,,13.25,GST Only,9.26,MBLL,Cannabis,Pre-Rolled,,,,,,,,
2.1E+11,6.71149E+11,,63694,1.00671E+35,Big Bag O Buds Blueberry Dream Sativa Flower 28G,63694,0,$93.99 ,Yes,Big Bag O Buds,Yes,,,93.99,GST Only,67.71,MBLL,Cannabis,Whole Flower,,,,,,,,
2.1E+11,9.90017E+11,2.1E+11,66843,010099001700080613250807100524-2505-01,Bold Growth RootBeer Float Craft Indica Flower 14G,66843,0,$99.99 ,Yes,Bold Growth,Yes,,,99.99,GST Only,73.82,MBLL,Cannabis,Whole Flower,,,,,,,,
2.1E+11,8.46067E+11,2.1E+11,63067,010084606700370313250206101402F,Toba Grown Indica Ounce Flower 28G,63067,0,$104.99 ,Yes,TOBA Grown,Yes,,,104.99,GST Only,77.7,MBLL,Cannabis,Whole Flower,,,,,,,,
2.1E+11,6.28693E+11,2.1E+11,64065,01006286932181461750072310PLGP241118003,Cosmic Extracts Grape Live Rosin Sativa Infused Pre-Rolls 3X0.5G,64065,0,$31.50 ,Yes,cosmic,Yes,,,31.5,GST Only,22.09,MBLL,Cannabis,Concentrates,,,,,,,,
2.1E+11,8.43686E+11,,63809,0100843686001202132510021025SBP3425,Dab Bods Sour Blueberry Triple Infused 50s+ Pre-Rolls 3X0.5G,63809,0,$30.99 ,Yes,Dab Bods,Yes,,,30.99,GST Only,22.73,MBLL,Cannabis,Concentrates,,,,,,,,
